PLAYER,Dacc,DD,GIR,SGpp,SCR,R1,R2,R3,R4,TOT,SGttg,SGott,SGapr,SGarg
Adam Scott,46.43,308.4,61.11,0.513,57.14,72,71,73,71,287,-0.136,-1.291,0.405,0.75
Dylan Frittelli,44.64,304.4,72.22,-0.783,55,71,68,76,68,283,2.16,-0.479,1.052,1.587
Matt Jones,44.64,300,62.5,0.422,55.56,73,71,70,74,288,-0.296,-0.624,-0.606,0.935
Cameron Smith,42.86,291,59.72,1.453,62.07,71,73,65,72,281,0.423,-0.591,0.115,0.9
Charley Hoffman,41.07,304.4,73.61,0.439,52.63,70,68,76,67,281,1.437,-0.354,1.82,-0.029
Cameron Smith,42.86,290.8,62.5,2.88,62.96,69,71,69,66,275,0.717,-1.293,1.665,0.345
Anirban Lahiri,67.86,282.8,69.44,1.413,68.18,67,73,67,69,276,1.934,0.871,1.048,0.014
Paul Casey,55.36,289.5,63.89,1.22,88.46,70,69,69,69,277,1.877,-0.269,1.766,0.38
Kevin Kisner,67.86,271.9,63.89,1.473,65.38,68,74,68,68,278,1.374,0.516,-0.635,1.493
Keegan Bradley,67.86,296.4,72.22,-0.265,70,72,71,68,68,279,2.862,1.385,1.16,0.318
Doug Ghim,78.57,272.4,76.39,0.336,58.82,70,70,68,72,280,2.011,0.948,0.909,0.154
Russell Knox,73.21,276.1,77.78,0.377,62.5,71,71,68,70,280,1.97,0.737,0.283,0.95
Harold Varner III,67.86,284.1,76.39,0.134,64.71,69,69,72,70,280,2.213,0.743,1.292,0.177
Viktor Hovland,78.57,295.8,79.17,-0.786,46.67,71,73,68,69,281,2.883,1.175,2.376,-0.668
Adam Hadwin,64.29,286.6,61.11,1.427,67.86,72,72,70,67,281,0.67,-0.266,1.047,-0.111
Sepp Straka,58.93,286.5,76.39,1.5,58.82,69,74,71,67,281,0.597,0.859,-0.279,0.018
Dustin Johnson,55.36,294.6,69.44,1.341,54.55,69,73,76,63,281,0.756,0.567,0.645,-0.456
Brendan Steele,76.79,295.3,69.44,-0.524,50,73,69,69,71,282,2.371,1.904,1.051,-0.584
Keith Mitchell,62.5,291,66.67,0.351,62.5,67,72,74,69,282,1.496,1.07,-0.289,0.715
Taylor Pendrith,62.5,301.4,72.22,0.619,60,68,71,74,69,282,1.228,0.938,0.122,0.168
Max Homa,60.71,294.5,69.44,-0.337,63.64,72,73,71,66,282,2.184,1.095,0.988,0.101
Russell Henley,57.14,278.9,66.67,0.581,54.17,69,73,72,68,282,1.266,-0.808,2.888,-0.814
Daniel Berger,55.36,279.6,58.33,1.333,76.67,67,75,70,70,282,0.514,0.105,-0.559,0.968
Erik van Rooyen,53.57,280.9,69.44,-0.941,45.45,71,67,74,70,282,2.788,-0.376,2.831,0.333
Tyrrell Hatton,51.79,292.8,62.5,2.109,59.26,70,73,69,70,282,-0.262,-0.309,0.248,-0.2
Shane Lowry,51.79,288,73.61,0.426,47.37,73,70,67,72,282,1.421,0.432,0.975,0.014
Kevin Streelman,82.14,278.3,69.44,0.835,63.64,73,71,66,73,283,0.762,0.433,0.928,-0.6
Tommy Fleetwood,67.86,294.5,69.44,-0.398,54.55,66,73,72,72,283,1.995,0.813,0.57,0.612
Patton Kizzire,51.79,289.1,65.28,1.953,56,68,76,72,67,283,-0.356,-1.031,0.311,0.364
Joaquin Niemann,51.79,299.8,69.44,-0.301,59.09,67,73,73,70,283,1.898,0.794,0.517,0.587
Sergio Garcia,69.64,291.8,72.22,0.742,60,71,71,71,71,284,0.605,0.967,-0.294,-0.068
Doc Redman,62.5,282,69.44,0.168,50,71,70,72,71,284,1.179,0.854,0.82,-0.494
Corey Conners,58.93,280,70.83,0.188,76.19,70,69,75,70,284,1.159,0.415,0.497,0.247
Will Zalatoris,57.14,293.1,73.61,-0.391,52.63,69,71,70,74,284,1.738,1.112,0.735,-0.109
Patrick Reed,55.36,278.3,62.5,2.246,55.56,73,70,68,73,284,-0.9,-1.433,0.417,0.116
Alex Noren,50,283.1,66.67,-0.151,66.67,69,75,71,69,284,1.498,0.163,1.258,0.077
Sam Burns,46.43,293.5,63.89,1.101,65.38,68,69,71,76,284,0.246,0.046,0.205,-0.005
Tom Hoge,71.43,280.3,75,-1.309,66.67,66,71,72,76,285,2.406,0.824,0.689,0.894
Ian Poulter,69.64,273.1,63.89,0.098,65.38,73,70,71,71,285,0.999,-0.298,0.598,0.7
Joel Dahmen,67.86,275.9,63.89,1.205,50,70,71,71,73,285,-0.109,-0.006,0.234,-0.336
Rory McIlroy,66.07,293.6,65.28,-1.121,64,73,73,73,66,285,2.218,0.77,0.694,0.753
Pat Perez,66.07,272.6,63.89,1.437,57.69,70,72,75,68,285,-0.34,-0.407,0.179,-0.112
Abraham Ancer,62.5,274.5,65.28,0.156,60,68,71,74,72,285,0.941,0.2,0.704,0.037
Justin Thomas,62.5,285.9,69.44,-0.151,63.64,72,69,72,72,285,1.248,0.548,0.593,0.107
Louis Oosthuizen,78.57,282.5,59.72,-0.014,58.62,69,72,69,76,286,0.861,1.173,-0.388,0.076
Kramer Hickok,67.86,273.8,69.44,-0.355,63.64,67,75,71,73,286,1.202,0.534,0.891,-0.222
Francesco Molinari,60.71,279.4,66.67,-0.234,45.83,70,73,69,74,286,1.081,0.025,0.567,0.489
Scott Stallings,60.71,290.4,62.5,0.478,62.96,71,75,65,75,286,0.369,-0.208,-0.048,0.624
Adam Long,73.21,274.8,63.89,0.374,65.38,71,71,75,70,287,0.223,0.675,-0.603,0.151
Maverick McNealy,58.93,283.6,69.44,0.043,50,70,76,70,71,287,0.554,0.403,0.948,-0.797
Peter Malnati,57.14,285.9,66.67,0.787,66.67,70,75,72,70,287,-0.19,-0.859,0.877,-0.208
Troy Merritt,55.36,279.6,63.89,1.151,57.69,74,71,71,71,287,-0.554,-0.478,-0.149,0.073
Brice Garnett,60.71,278.6,61.11,-0.258,60.71,67,76,74,71,288,0.605,-0.386,0.662,0.329
Dylan Frittelli,57.14,284,69.44,-0.556,63.64,73,72,73,70,288,0.903,-0.032,1.058,-0.123
Aaron Wise,55.36,298.9,80.56,-1.256,35.71,71,74,74,69,288,1.603,0.429,1.367,-0.193
Jason Kokrak,60.71,297.3,55.56,0.299,65.63,72,72,71,74,289,-0.202,-0.578,0.26,0.116
Branden Grace,53.57,276.9,59.72,0.009,62.07,71,72,73,73,289,0.088,0.115,-1.453,1.426
Jon Rahm,71.43,292.4,72.22,-0.247,45,69,72,72,77,290,0.094,1.806,-1.656,-0.056
Jimmy Walker,60.71,282.1,72.22,-1.239,55,70,73,71,76,290,1.086,0.247,0.339,0.499
Sungjae Im,51.79,278.9,59.72,0.098,55.17,72,72,70,76,290,-0.251,-0.327,-0.427,0.503
K.H. Lee,51.79,279.3,69.44,0.164,50,70,73,76,71,290,-0.318,-0.364,-0.305,0.352
Scottie Scheffler,50,293.1,59.72,0.433,48.28,70,76,68,76,290,-0.586,0.25,-0.953,0.117
Michael Thompson,71.43,272.6,58.33,0.934,60,72,73,74,72,291,-1.337,-0.154,-0.874,-0.309
Denny McCarthy,55.36,274.1,61.11,0.112,53.57,70,76,73,72,291,-0.516,-0.631,0.018,0.097
Sam Ryder,53.57,277.5,59.72,0.707,55.17,69,74,73,75,291,-1.11,-0.692,-0.808,0.39
Brian Harman,69.64,274,65.28,-0.348,40,68,74,75,75,292,-0.305,0.53,-0.759,-0.076
Hank Lebioda,53.57,270.1,65.28,-0.597,56,72,70,72,78,292,-0.056,-0.996,1.252,-0.312
Chesson Hadley,46.43,290,54.17,2.277,57.58,70,74,71,77,292,-2.93,-1.55,-1.186,-0.193
Hayden Buckley,75,282.4,72.22,-1.471,45,72,71,76,74,293,0.568,1.483,-0.021,-0.894
Nick Watney,57.14,286.9,66.67,-0.435,58.33,75,71,75,72,293,-0.468,-0.421,0.805,-0.852
Bubba Watson,60.71,272.5,62.5,0.149,40.74,73,68,78,76,295,-1.552,0.495,-1.608,-0.439
Lucas Herbert,44.64,299,54.17,0.306,54.55,70,74,75,76,295,-1.709,-0.95,-0.556,-0.202
Lee Hodges,71.43,278.3,58.33,-1.701,60,72,74,75,76,297,-0.202,0.212,-0.69,0.276
Scottie Scheffler,67.86,305.9,75,0.027,72.22,68,69,65,69,271,4.292,1.159,1.882,1.25
Tyrrell Hatton,55.36,288.1,70.83,0.969,61.9,72,71,68,65,276,2.1,0.546,2.068,-0.514
Viktor Hovland,64.29,289.1,68.06,0.423,65.22,69,71,70,68,278,2.145,0.492,1.82,-0.167
Tom Hoge,73.21,291,66.67,-0.364,58.33,78,68,62,70,278,2.933,0.44,2.21,0.283
Hideki Matsuyama,67.86,288.5,62.5,0.354,62.96,74,70,67,68,279,1.964,0.834,0.713,0.418
Max Homa,64.29,287.8,68.06,0.106,65.22,72,72,67,69,280,1.962,0.39,1.176,0.396
Justin Suh,55.36,286.5,54.17,0.309,66.67,68,73,69,70,280,1.759,0.182,0.355,1.223
Justin Rose,73.21,290.3,69.44,-0.151,63.64,69,73,67,71,280,2.22,0.711,1.052,0.457
Sungjae Im,73.21,284,63.89,0.306,57.69,75,69,64,72,280,1.762,1.246,0.53,-0.014
David Lingmerth,73.21,274.4,62.5,1.274,66.67,72,68,68,72,280,0.795,0.141,1.599,-0.945
Cam Davis,48.21,301.4,58.33,1.13,70,69,70,67,74,280,0.939,0.185,-0.214,0.968
